State,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
NM,1651,1123,630,38.16%,1111,540,0,201,718,832,101,85,139,1111,654,353,31.77%,562,97,119,478,548,85,15,85,540,469,277,51.30%,82,240,284,16,70,54,0,0,0,0.00%,0,0,0,0,0,0,842,584,583,69.24%,218,691,151,0,162,14,2545,2539,1325,52.06%,419,1063,1481,1,525,1,1421,124,124,104,83.87%,32,116,8,0,0,0
NV,3033,2725,2390,78.80%,1736,1082,215,237,605,2357,71,457,244,1736,1491,1275,73.44%,336,422,167,491,1186,59,69,93,1082,1019,900,83.18%,70,114,956,12,388,151,215,215,215,100.00%,0,0,215,0,0,0,700,700,664,94.86%,158,521,179,0,191,45,3318,3318,1691,50.96%,338,843,2473,2,2106,46,1920,68,68,68,100.00%,0,0,68,0,25,6
NY,88063,83927,74982,85.15%,82292,5676,95,16823,52896,35006,161,773,1448,82292,78383,71044,86.33%,545,3215,16323,51547,30618,127,260,718,5676,5449,3843,67.71%,500,1349,4293,34,446,730,95,95,95,100.00%,0,0,95,0,67,0,4954,4758,4614,93.14%,1221,3508,1445,1,1030,175,42183,41559,26414,62.62%,3687,10672,31511,0,7285,742,21842,668,668,297,44.46%,132,440,228,0,25,0
OH,9269,7864,6755,72.88%,7265,1905,99,1188,3740,5425,104,643,356,7265,6188,5227,71.95%,473,698,882,2890,4294,81,134,175,1905,1577,1429,75.01%,306,850,1032,23,452,181,99,99,99,100.00%,0,0,99,0,57,0,5352,5191,5157,96.36%,1163,3872,1480,0,567,322,17895,17895,15738,87.95%,2222,7028,10867,0,2981,287,8062,46,46,46,100.00%,12,26,20,0,20,0
OK,3339,2634,1954,58.52%,2646,668,25,353,1234,1993,112,151,306,2646,2000,1505,56.88%,45,99,259,948,1586,112,59,217,668,609,424,63.47%,94,286,382,0,92,89,25,25,25,100.00%,0,0,25,0,0,0,513,448,381,74.27%,82,300,213,0,190,11,1917,1901,1204,62.81%,130,408,1509,0,759,48,753,14,10,0,0.00%,3,6,8,0,1,0
OR,6419,5838,3440,53.59%,4174,2235,10,720,2024,4262,133,321,436,4174,3766,2234,53.52%,504,104,434,1234,2837,103,48,230,2235,2062,1196,53.51%,286,790,1415,30,273,206,10,10,10,100.00%,0,0,10,0,0,0,3621,3325,3282,90.64%,834,2767,852,2,531,54,7426,7357,5660,76.22%,1065,3007,4419,0,2097,55,2562,190,190,167,87.89%,25,78,112,0,0,0
PA,12909,11250,9224,71.45%,8096,4501,312,2053,6456,6366,87,762,537,8096,6933,5400,66.70%,1163,285,1176,3909,4101,86,142,201,4501,4005,3532,78.47%,877,2547,1953,1,575,312,312,312,292,93.59%,0,0,312,0,45,24,4824,4674,4427,91.77%,1088,3579,1244,1,619,166,12895,12804,9867,76.52%,1979,6252,6643,0,2918,92,5440,375,375,234,62.40%,17,48,327,0,29,0
RI,1003,827,727,72.48%,662,341,0,133,375,623,5,68,21,662,595,501,75.68%,142,7,68,184,473,5,0,5,341,232,226,66.28%,65,191,150,0,68,16,0,0,0,0.00%,0,0,0,0,0,0,366,366,366,100.00%,71,222,144,0,61,0,1244,1244,1012,81.35%,144,513,731,0,288,37,547,658,652,652,99.09%,99,256,402,0,1,1
SC,3001,2587,1859,61.95%,2146,838,17,219,1202,1749,50,281,115,2146,1767,1228,57.22%,599,79,140,898,1232,16,58,40,838,803,614,73.27%,79,304,500,34,218,75,17,17,17,100.00%,0,0,17,0,5,0,551,551,547,99.27%,95,315,236,0,169,10,2052,1979,1556,75.83%,185,539,1513,0,1140,4,1259,237,237,237,100.00%,25,100,115,22,12,26
SD,1090,699,170,15.60%,990,100,0,225,621,468,1,97,22,990,599,112,11.31%,15,101,225,621,369,0,17,14,100,100,58,58.00%,0,0,99,1,80,8,0,0,0,0.00%,0,0,0,0,0,0,373,346,231,61.93%,210,313,60,0,34,7,519,519,103,19.85%,75,188,331,0,388,18,69,25,25,25,100.00%,0,0,25,0,25,4
